Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
AASDH,-0.686,-0.463,0.038,-0.571,0.177,-0.27,-0.226,-0.013,-0.15,-0.093,0.218,0.361,0.057,0.426
ABCB10,0.056,-0.903,-0.591,-0.148,-0.593,-0.087,-0.764,0.011,-0.793,-0.299,-0.619,-0.366,-0.503,-0.846
ABCB6,0.488,0.155,-0.669,-0.013,-0.216,0.005,0.258,0.258,-0.098,0.05,-0.451,0.342,-0.315,0.306
ABCC1,0.051,0.216,-1.279,-0.173,-0.545,-0.308,-0.742,-0.02,-0.345,-0.036,0.095,-0.125,-0.183,-0.431
ABCF3,0.105,-0.83,0.021,-0.101,0.236,0.041,-0.041,0.256,0.273,-0.119,-0.503,-0.226,-0.345,-0.593
ABCG4,0.048,-0.958,-0.49,0.212,-0.531,0.064,-0.336,-0.53,-0.48,0.113,-0.069,-0.484,-0.356,-0.089
ABHD12B,-0.711,-0.186,-0.928,-0.364,-0.804,-0.475,-0.225,-0.544,-0.457,-0.409,-0.855,-0.243,0.308,-0.13
ABHD5,0.147,0.04,-1.268,-0.339,-0.313,-0.287,-0.415,-0.245,-0.286,-0.196,-0.299,-0.635,-0.333,-0.882
ABR,0.061,-0.06,-0.693,-0.375,-0.999,0.153,-0.291,-0.452,-1.143,0.012,-0.326,-0.167,-0.533,-0.232
ACAP2,-0.356,-0.244,0.228,-0.04,-0.317,0.567,0.222,0.113,-0.319,-0.109,-0.824,-0.227,-0.295,-1.136
ACOT9,0.258,-0.135,0.418,0.399,0.098,0.396,0.756,0.571,0.605,0.123,-0.158,-0.694,0.073,-0.068
ACRV1,0.281,0.058,0.195,0.028,0.911,0.259,0.165,-0.083,0.678,0.692,0.371,0.573,1.113,0.339
ACSL3,0.277,-0.328,1.116,-0.083,0.114,0.407,-0.052,0.604,0.345,0.255,-0.179,0.153,-0.629,0.509
ACTL6B,-0.117,-0.224,0,-0.2,-0.299,-0.114,0.128,0.145,-0.061,-1.096,-0.178,-0.465,-0.579,0.047
ACVR2B,-0.525,-0.974,-0.663,-0.064,-0.514,-0.417,-0.625,-1.083,-0.761,-0.653,-0.598,-0.586,0.316,-0.843
ADAM15,-0.538,-0.456,-0.501,0.181,-0.442,-0.638,-0.453,-1.115,-0.96,-0.661,-0.489,-0.892,-0.397,-0.995
ADAMTS1,-0.115,-1.239,-0.363,-0.274,-0.16,-0.063,-0.414,-0.245,-0.45,-0.401,-0.198,-0.035,-0.774,-0.849
ADAMTS13,-0.536,-0.671,-0.104,0.051,-0.826,-0.24,-0.858,-0.531,-0.667,-0.695,-1.217,-0.148,-0.367,-0.802
